Time Stamps,Lat,Long,Velocity,Time ,Time offset ,
13:54:09,37.42143014,-122.1597491,5.14,257805902378437,30985789754,
13:54:09,37.4214275,-122.1597518,5.137208,257805902378437,30985789754,
13:54:10,37.42146685,-122.1597805,4.86,257806912309319,31995720636,
13:54:10,37.4214666,-122.1597818,4.992202,257806912309319,31995720636,
13:54:11,37.42150685,-122.159821,5.73,257807907491397,32990902714,
13:54:11,37.4215053,-122.1598183,5.327721,257807907491397,32990902714,
13:54:13,37.42155912,-122.1598751,6.82,257808921611654,34005022971,
13:54:13,37.4215526,-122.1598681,6.297185,257808921611654,34005022971,
13:54:13,37.42160369,-122.159925,6.53,257809906780450,34990191767,
13:54:13,37.4215995,-122.1599194,6.467008,257809906780450,34990191767,
13:54:14,37.4216441,-122.1599727,5.92,257810899879456,35983290773,
13:54:14,37.4216424,-122.1599692,5.963221,257810899879456,35983290773,
13:54:15,37.42167813,-122.1600211,6.03,257811908480025,36991891342,
13:54:15,37.4216793,-122.1600194,6.024427,257811908480025,36991891342,
13:54:16,37.42170633,-122.1600811,6.1,257812907247208,37990658525,
13:54:16,37.4217093,-122.1600772,5.981916,257812907247208,37990658525,
13:54:17,37.42173122,-122.1601401,5.65,257813912275537,38995686854,
13:54:17,37.4217311,-122.1601394,5.669917,257813912275537,38995686854,
13:54:18,37.42175439,-122.1601929,5.55,257814904785584,39988196901,
13:54:18,37.4217524,-122.1601951,5.559047,257814904785584,39988196901,
13:54:19,37.42179081,-122.1602447,6.19,257815904915631,40988326948,
13:54:19,37.4217869,-122.1602463,6.147439,257815904915631,40988326948,
13:54:20,37.42183492,-122.1602909,6.57,257816908776200,41992187517,
13:54:20,37.4218314,-122.1602934,6.564315,257816908776200,41992187517,
13:54:21,37.42188747,-122.1603346,6.79,257817913660363,42997071680,
13:54:21,37.4218841,-122.1603368,6.784203,257817913660363,42997071680,
13:54:22,37.42193269,-122.1603806,6.39,257818911703431,43995114748,
13:54:22,37.4219333,-122.1603803,6.402733,257818911703431,43995114748,
13:54:23,37.42198035,-122.1604226,6.26,257819905342801,44988754118,
13:54:23,37.42198,-122.1604229,6.262485,257819905342801,44988754118,
13:54:22,37.4218822,-122.1602601,,257818332000000,43415411317,
13:54:24,37.42202946,-122.1604575,6.55,257820894886597,45978297914,
13:54:24,37.4220428,-122.1604691,6.53058,257820894886597,45978297914,
13:54:25,37.42207697,-122.1604835,5.69,257821906386125,46989797442,
13:54:25,37.4220818,-122.1604904,5.774621,257821906386125,46989797442,
13:54:26,37.42212639,-122.1605068,6.31,257822912375340,47995786657,
13:54:26,37.4221273,-122.1605104,6.27111,257822912375340,47995786657,
13:54:27,37.42218855,-122.1605506,7.99,257823897471271,48980882588,
13:54:27,37.4221858,-122.1605465,7.92201,257823897471271,48980882588,
13:54:28,37.42223598,-122.160609,6.86,257824902936996,49986348313,
13:54:28,37.4222393,-122.160604,6.890831,257824902936996,49986348313,
13:54:29,37.42227803,-122.16067,6.84,257825908004857,50991416174,
13:54:29,37.4222795,-122.1606669,6.839924,257825908004857,50991416174,
13:54:30,37.42231423,-122.160725,6.18,257826908991207,51992402524,
13:54:30,37.4223157,-122.1607253,6.205847,257826908991207,51992402524,
13:54:31,37.42235073,-122.1607629,5.93,257827908115890,52991527207,
13:54:31,37.4223509,-122.160768,5.923114,257827908115890,52991527207,
13:54:32,37.42238961,-122.1608169,5.98,257828906419374,53989830691,
13:54:32,37.422391,-122.1608138,5.973049,257828906419374,53989830691,
13:54:34,37.42242129,-122.1608678,6.14,257829917251506,55000662823,
13:54:34,37.422423,-122.160867,6.139406,257829917251506,55000662823,
13:54:34,37.42246802,-122.1609203,6.19,257830913620251,55997031568,
13:54:34,37.4224647,-122.1609205,6.188687,257830913620251,55997031568,
13:54:35,37.4225024,-122.1609763,6.17,257831909054830,56992466147,
13:54:35,37.4225026,-122.1609746,6.164478,257831909054830,56992466147,
13:54:36,37.4225257,-122.161031,5.47,257832908001700,57991413017,
13:54:36,37.4225288,-122.1610306,5.500422,257832908001700,57991413017,
13:54:37,37.42255148,-122.1610787,5.56,257833910839821,58994251138,
13:54:37,37.4225521,-122.1610806,5.552297,257833910839821,58994251138,
13:54:38,37.42257282,-122.1611241,4.81,257834908919452,59992330769,
13:54:38,37.4225756,-122.161126,4.853979,257834908919452,59992330769,
13:54:39,37.42262464,-122.161144,6.5,257835912024760,60995436077,
13:54:39,37.422617,-122.1611522,6.395632,257835912024760,60995436077,
13:54:40,37.42266198,-122.16115,4.87,257836914623297,61998034614,
13:54:40,37.4226654,-122.161156,4.931173,257836914623297,61998034614,
13:54:42,37.42271095,-122.161141,5.99,257837918588970,63002000287,
13:54:42,37.4227107,-122.1611463,5.968842,257837918588970,63002000287,
13:54:42,37.42275794,-122.1611416,5.04,257838909562506,63992973823,
13:54:42,37.422759,-122.1611365,5.042219,257838909562506,63992973823,
13:54:43,37.4227277,-122.1609153,,257839102000000,64185411317,
13:54:43,37.4227629,-122.1611384,5.041551,257839102000000,64185411317,
13:54:43,37.42280149,-122.1611803,6.58,257839911540783,64994952100,
13:54:43,37.4228009,-122.161167,6.548179,257839911540783,64994952100,
13:54:44,37.4228346,-122.1612224,5.5,257840903266247,65986677564,
13:54:44,37.4228384,-122.1612194,5.509025,257840903266247,65986677564,
13:54:45,37.42285622,-122.1612764,5.37,257841909328222,66992739539,
13:54:45,37.4228594,-122.1612748,5.369434,257841909328222,66992739539,
13:54:46,37.42286796,-122.1613355,5.69,257842910602957,67994014274,
13:54:46,37.4228713,-122.161334,5.689439,257842910602957,67994014274,
13:54:47,37.42286912,-122.1613987,5.94,257843915875661,68999286978,
13:54:47,37.4228721,-122.1613985,5.939788,257843915875661,68999286978,
13:54:48,37.42286913,-122.1614592,5.45,257844907394979,69990806296,
13:54:48,37.4228677,-122.1614609,5.450623,257844907394979,69990806296,
13:54:49,37.42286368,-122.1615131,4.61,257845904633984,70988045301,
13:54:49,37.4228631,-122.161516,4.716433,257845904633984,70988045301,
13:54:50,37.42289163,-122.1615828,7.2,257846905570803,71988982120,
13:54:50,37.4228808,-122.161579,7.130644,257846905570803,71988982120,
