Time Stamps,Lat,Long,Velocity,Time ,Time offset ,
8:59:30,37.4206579,-122.1585853,7.375627,4.12926E+14,0,0.999997622
8:59:30,37.42066386,-122.1585848,0,4.12927E+14,981842285,
8:59:30,37.4206713,-122.1585843,3.610394,4.12927E+14,981842285,
8:59:32,37.42063737,-122.1586212,2.32,4.12928E+14,2000039939,
8:59:32,37.4206547,-122.1586051,2.288589,4.12928E+14,2000039939,
8:59:32,37.42062669,-122.1586481,1.27,4.12929E+14,2995799829,
8:59:32,37.4206393,-122.158637,1.690327,4.12929E+14,2995799829,
8:59:33,37.42063376,-122.158682,2.89,4.1293E+14,3994633887,
8:59:33,37.4206339,-122.1586655,2.363588,4.1293E+14,3994633887,
8:59:33,37.4206715,-122.1584012,,4.12929E+14,3031445871,
8:59:34,37.4206597,-122.1586904,2.526573,4.12931E+14,4628445871,
8:59:34,37.42066582,-122.1587257,5.17,4.12931E+14,4991901018,
8:59:35,37.4206922,-122.1586875,4.648202,4.12932E+14,5718176516,
8:59:36,37.42068132,-122.1587793,5.05,4.12932E+14,6011310338,
8:59:36,37.4206836,-122.1587654,5.012686,4.12932E+14,6011310338,
8:59:36,37.42070892,-122.1588236,4.63,4.12933E+14,6993851947,
8:59:36,37.4207062,-122.15882,5.047048,4.12933E+14,6993851947,
8:59:37,37.42074877,-122.1588957,6.83,4.12934E+14,7993777671,
8:59:37,37.4207411,-122.1588824,6.752574,4.12934E+14,7993777671,
8:59:39,37.42078163,-122.158947,6.11,4.12935E+14,9005289543,
8:59:39,37.4207797,-122.1589468,6.151778,4.12935E+14,9005289543,
8:59:39,37.42081962,-122.1590013,6.94,4.12936E+14,9998253756,
8:59:39,37.4208179,-122.1590013,6.902833,4.12936E+14,9998253756,
8:59:41,37.42086076,-122.1590653,7.1,4.12937E+14,11008737763,
8:59:41,37.4208595,-122.1590648,7.088043,4.12937E+14,11008737763,
8:59:41,37.42090561,-122.159126,7.5,4.12938E+14,11996264320,
8:59:41,37.4209037,-122.1591262,7.473029,4.12938E+14,11996264320,
8:59:43,37.42093577,-122.1591897,6.75,4.12939E+14,13003390514,
8:59:43,37.4209394,-122.15919,6.795194,4.12939E+14,13003390514,
8:59:38,37.4208139,-122.158878,,4.12935E+14,8824445871,
8:59:44,37.42097407,-122.1592387,6.48,4.1294E+14,14000323947,
8:59:44,37.4209841,-122.1592565,6.448078,4.1294E+14,14000323947,
8:59:45,37.42101651,-122.1592969,6.85,4.12941E+14,15001155453,
8:59:45,37.4210195,-122.1592995,6.735509,4.12941E+14,15001155453,
8:59:46,37.42107805,-122.1593491,7.59,4.12942E+14,16001736958,
8:59:46,37.4210739,-122.1593507,7.37777,4.12942E+14,16001736958,
8:59:46,37.42112074,-122.1593923,6.27,4.12943E+14,16997920391,
8:59:46,37.4211207,-122.1593956,6.308864,4.12943E+14,16997920391,
8:59:48,37.42116295,-122.1594319,5.46,4.12944E+14,18004668304,
8:59:48,37.4211631,-122.1594353,5.543484,4.12944E+14,18004668304,
8:59:49,37.4211902,-122.1594902,5.94,4.12945E+14,19002421424,
8:59:49,37.4211944,-122.1594843,5.796008,4.12945E+14,19002421424,
8:59:50,37.42120445,-122.1595354,5.26,4.12946E+14,20005175847,
8:59:50,37.4212106,-122.159535,5.245719,4.12946E+14,20005175847,
8:59:51,37.42123651,-122.1595887,5.67,4.12947E+14,21007832353,
8:59:51,37.4212345,-122.1595891,5.603866,4.12947E+14,21007832353,
8:59:51,37.42128403,-122.1596354,6.69,4.12948E+14,21999309379,
8:59:51,37.4212775,-122.1596375,6.438953,4.12948E+14,21999309379,
8:59:53,37.421339,-122.1596775,6.44,4.12949E+14,23009828855,
8:59:53,37.4213338,-122.1596803,6.444874,4.12949E+14,23009828855,
8:59:54,37.42138697,-122.1597267,6.56,4.1295E+14,24000149422,
8:59:54,37.421384,-122.1597269,6.557577,4.1295E+14,24000149422,
8:59:55,37.42143555,-122.1597576,6.44,4.12951E+14,25000148897,
8:59:55,37.4214338,-122.1597627,6.437968,4.12951E+14,25000148897,
8:59:56,37.42147774,-122.1598094,6.94,4.12952E+14,26014603893,
8:59:56,37.4214792,-122.1598077,6.895907,4.12952E+14,26014603893,
8:59:57,37.42152458,-122.159845,6.64,4.12953E+14,27005626440,
8:59:57,37.421524,-122.1598503,6.670815,4.12953E+14,27005626440,
8:59:58,37.42157296,-122.1598922,7.02,4.12954E+14,28017403051,
8:59:58,37.4215724,-122.1598944,7.009251,4.12954E+14,28017403051,
8:59:58,37.4215862,-122.1598755,,4.12954E+14,28039445871,
8:59:59,37.42161786,-122.1599349,6.08,4.12955E+14,29005597577,
8:59:59,37.4216185,-122.1599377,6.243998,4.12955E+14,29005597577,
9:00:00,37.42165939,-122.1599975,6.99,4.12956E+14,30008437416,
9:00:00,37.4216605,-122.1599931,6.809154,4.12956E+14,30008437416,
9:00:01,37.42167349,-122.1600899,7.59,4.12957E+14,31000051421,
9:00:01,37.4216801,-122.1600799,7.36579,4.12957E+14,31000051421,
9:00:01,37.42171716,-122.1601632,7.88,4.12958E+14,31998711000,
9:00:01,37.4217134,-122.1601618,7.853774,4.12958E+14,31998711000,
9:00:03,37.42174398,-122.1602289,7.14,4.12959E+14,33001444537,
9:00:03,37.4217464,-122.1602311,7.264467,4.12959E+14,33001444537,
9:00:04,37.42178932,-122.1602813,6.55,4.1296E+14,34000790470,
9:00:04,37.4217866,-122.1602869,6.62673,4.1296E+14,34000790470,
9:00:05,37.42183629,-122.1603525,7.65,4.12961E+14,35002767185,
9:00:05,37.4218341,-122.16035,7.571557,4.12961E+14,35002767185,
9:00:06,37.42187712,-122.1604049,6.22,4.12962E+14,36000812492,
9:00:06,37.4218773,-122.1604075,6.256768,4.12962E+14,36000812492,
9:00:07,37.42192975,-122.1604523,6.75,4.12963E+14,37003616707,
